Opérateur,Statut,Année,Valeur
AGENCE NATIONALE DE TRAITEMENT AUTOMATISE DES INFRACTIONS,EPA,2022,1129
AGENCE NATIONALE DE TRAITEMENT AUTOMATISE DES INFRACTIONS,EPA,2023,1195
AGENCE NATIONALE DES FREQUENCES,EPA,2021,1351
AGENCE NATIONALE DES FREQUENCES,EPA,2022,1353
AGENCE NATIONALE DES FREQUENCES,EPA,2023,0
AGENCE NATIONALE DES TITRES SECURISES,EPA,2021,976
AGENCE NATIONALE DES TITRES SECURISES,EPA,2022,1070
AGENCE NATIONALE DES TITRES SECURISES,EPA,2023,1108
AGENCE NATIONALE DU NUMERIQUE DE LA SECURITE CIVILE,EPA,2021,1123
AGENCE NATIONALE DU NUMERIQUE DE LA SECURITE CIVILE,EPA,2022,977
AGENCE NATIONALE DU NUMERIQUE DE LA SECURITE CIVILE,EPA,2023,999
AGENCE NATIONALE DU SPORT,GIP,2021,1002
AGENCE NATIONALE DU SPORT,GIP,2022,1039
AGENCE NATIONALE DU SPORT,GIP,2023,1086
AGENCE NATIONALE POUR L AMELIORATION DES CONDITIONS DE TRAVAIL,EPA,2021,684
AGENCE NATIONALE POUR L AMELIORATION DES CONDITIONS DE TRAVAIL,EPA,2022,691
AGENCE NATIONALE POUR L AMELIORATION DES CONDITIONS DE TRAVAIL,EPA,2023,787
AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES,EPIC,2021,1557
AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES,EPIC,2022,1510
AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES,EPIC,2023,0
AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS,EPA,2021,973
AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS,EPA,2022,1038
AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS,EPA,2023,1004
AGENCE NATIONALE POUR LA GESTION DES DECHETS RADIOACTIFS,EPIC,2021,1600
AGENCE NATIONALE POUR LA GESTION DES DECHETS RADIOACTIFS,EPIC,2022,1572
AGENCE NATIONALE POUR LA GESTION DES DECHETS RADIOACTIFS,EPIC,2023,1569
AGENCE POUR L'ENSEIGNEMENT FRANCAIS A L'ETRANGER,EPA,2021,1843
AGENCE POUR L'ENSEIGNEMENT FRANCAIS A L'ETRANGER,EPA,2022,1805
AGENCE POUR L'ENSEIGNEMENT FRANCAIS A L'ETRANGER,EPA,2023,1870
AGENCE PUBLIQUE POUR L IMMOBILIER DE LA JUSTICE,EPA,2021,946
AGENCE PUBLIQUE POUR L IMMOBILIER DE LA JUSTICE,EPA,2022,988
AGENCE PUBLIQUE POUR L IMMOBILIER DE LA JUSTICE,EPA,2023,1011
AGENCE REGIONALE DE SANTE AUVERGNE -RHONE -ALPES,EPA,2021,1303
AGENCE REGIONALE DE SANTE AUVERGNE -RHONE -ALPES,EPA,2022,1286
AGENCE REGIONALE DE SANTE AUVERGNE -RHONE -ALPES,EPA,2023,1208
AGENCE REGIONALE DE SANTE BOURGOGNE -FRANCHE -COMTE,EPA,2021,1167
AGENCE REGIONALE DE SANTE BOURGOGNE -FRANCHE -COMTE,EPA,2022,1180
AGENCE REGIONALE DE SANTE BOURGOGNE -FRANCHE -COMTE,EPA,2023,1214
AGENCE REGIONALE DE SANTE DE BRETAGNE,EPA,2021,1073
AGENCE REGIONALE DE SANTE DE BRETAGNE,EPA,2022,1051
AGENCE REGIONALE DE SANTE DE BRETAGNE,EPA,2023,1140
AGENCE REGIONALE DE SANTE DE CORSE,EPA,2021,1101
AGENCE REGIONALE DE SANTE DE CORSE,EPA,2022,1136
AGENCE REGIONALE DE SANTE DE CORSE,EPA,2023,1268
AGENCE REGIONALE DE SANTE DE GUYANE,EPA,2021,1163
AGENCE REGIONALE DE SANTE DE GUYANE,EPA,2022,1098
AGENCE REGIONALE DE SANTE DE GUYANE,EPA,2023,1002
AGENCE REGIONALE DE SANTE DE LA REUNION,EPA,2021,1166
AGENCE REGIONALE DE SANTE DE LA REUNION,EPA,2022,1151
AGENCE REGIONALE DE SANTE DE LA REUNION,EPA,2023,1475
AGENCE REGIONALE DE SANTE DE MARTINIQUE,EPA,2021,1184
AGENCE REGIONALE DE SANTE DE MARTINIQUE,EPA,2022,1211
AGENCE REGIONALE DE SANTE DE MARTINIQUE,EPA,2023,1248
AGENCE REGIONALE DE SANTE DE MAYOTTE,EPA,2021,1028
AGENCE REGIONALE DE SANTE DE MAYOTTE,EPA,2022,1097
AGENCE REGIONALE DE SANTE DE MAYOTTE,EPA,2023,1090
AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR,EPA,2021,1199
AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR,EPA,2022,1170
AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR,EPA,2023,1280
AGENCE REGIONALE DE SANTE DU CENTRE -VAL DE LOIRE,EPA,2021,1131
AGENCE REGIONALE DE SANTE DU CENTRE -VAL DE LOIRE,EPA,2022,1187
AGENCE REGIONALE DE SANTE DU CENTRE -VAL DE LOIRE,EPA,2023,1134
AGENCE REGIONALE DE SANTE GRAND EST,EPA,2021,1314
AGENCE REGIONALE DE SANTE GRAND EST,EPA,2022,1315
AGENCE REGIONALE DE SANTE GRAND EST,EPA,2023,1336
AGENCE REGIONALE DE SANTE HAUTS -DE-FRANCE,EPA,2021,1299
AGENCE REGIONALE DE SANTE HAUTS -DE-FRANCE,EPA,2022,1193
AGENCE REGIONALE DE SANTE HAUTS -DE-FRANCE,EPA,2023,1278
AGENCE REGIONALE DE SANTE ILE DE FRANCE,EPA,2021,1356
AGENCE REGIONALE DE SANTE ILE DE FRANCE,EPA,2022,1363
AGENCE REGIONALE DE SANTE ILE DE FRANCE,EPA,2023,1334
AGENCE REGIONALE DE SANTE NORMANDIE,EPA,2021,1127
AGENCE REGIONALE DE SANTE NORMANDIE,EPA,2022,1115
AGENCE REGIONALE DE SANTE NORMANDIE,EPA,2023,1112
AGENCE REGIONALE DE SANTE NOUVELLE -AQUITAINE,EPA,2021,1270
AGENCE REGIONALE DE SANTE NOUVELLE -AQUITAINE,EPA,2022,1295
AGENCE REGIONALE DE SANTE NOUVELLE -AQUITAINE,EPA,2023,1317
AGENCE REGIONALE DE SANTE OCCITANIE,EPA,2021,1261
AGENCE REGIONALE DE SANTE OCCITANIE,EPA,2022,1271
AGENCE REGIONALE DE SANTE OCCITANIE,EPA,2023,1349
AGENCE REGIONALE DE SANTE PAYS DE LOIRE,EPA,2021,1075
AGENCE REGIONALE DE SANTE PAYS DE LOIRE,EPA,2022,1112
AGENCE REGIONALE DE SANTE PAYS DE LOIRE,EPA,2023,1076
ATOUT FRANCE AGENCE FRANCAISE DE DEVELOPPEMENT TOURISTIQUE,GIE,2021,1275
ATOUT FRANCE AGENCE FRANCAISE DE DEVELOPPEMENT TOURISTIQUE,GIE,2022,1292
ATOUT FRANCE AGENCE FRANCAISE DE DEVELOPPEMENT TOURISTIQUE,GIE,2023,1324
BIBLIOTHEQUE NATIONALE DE FRANCE,EPA,2021,1194
BIBLIOTHEQUE NATIONALE DE FRANCE,EPA,2022,1209
BIBLIOTHEQUE NATIONALE DE FRANCE,EPA,2023,1249
BIBLIOTHEQUE NATIONALE ET UNIVERSITAIRE DE STRASBOURG,EPA,2021,663
BIBLIOTHEQUE NATIONALE ET UNIVERSITAIRE DE STRASBOURG,EPA,2022,681
BIBLIOTHEQUE NATIONALE ET UNIVERSITAIRE DE STRASBOURG,EPA,2023,699
BIBLIOTHEQUE PUBLIQUE D'INFORMATION,EPA,2021,1313
BIBLIOTHEQUE PUBLIQUE D'INFORMATION,EPA,2022,922
BIBLIOTHEQUE PUBLIQUE D'INFORMATION,EPA,2023,898
BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES,EPIC,2021,1390
BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES,EPIC,2022,1392
BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES,EPIC,2023,1388
BUSINESS FRANCE,EPIC,2021,1590
